"Rank","Player","Matchup","Salary","Prob"
79,"De'Anthony Thomas","BUF@KC 11/26/2017 01:00PM ET",3000,0
80,"Jakeem Grant","MIA@NE 11/26/2017 01:00PM ET",3000,0
81,"Leonte Carroo","MIA@NE 11/26/2017 01:00PM ET",3000,0
82,"Isaiah Ford","MIA@NE 11/26/2017 01:00PM ET",3000,0
83,"Rashawn Scott","MIA@NE 11/26/2017 01:00PM ET",3000,0
84,"Matthew Slater","MIA@NE 11/26/2017 01:00PM ET",3000,0
85,"Lucky Whitehead","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
86,"Jalin Marshall","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
87,"ArDarius Stewart","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
88,"Chad Hansen","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
89,"JoJo Natson Jr.","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
90,"Brenton Bersin","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
91,"Damiere Byrd","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
92,"Kaelin Clay","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
93,"Kendall Wright","CHI@PHI 11/26/2017 01:00PM ET",3000,0
94,"Markus Wheaton","CHI@PHI 11/26/2017 01:00PM ET",3000,0
95,"Tre McBride","CHI@PHI 11/26/2017 01:00PM ET",3000,0
96,"Mack Hollins","CHI@PHI 11/26/2017 01:00PM ET",3000,0
97,"Shelton Gibson","CHI@PHI 11/26/2017 01:00PM ET",3000,0
98,"Marcus Johnson","CHI@PHI 11/26/2017 01:00PM ET",3000,0
99,"Josh Reynolds","NO@LAR 11/26/2017 04:25PM ET",3000,0
100,"Tavon Austin","NO@LAR 11/26/2017 04:25PM ET",3000,0
101,"Pharoh Cooper","NO@LAR 11/26/2017 04:25PM ET",3000,0
102,"Austin Carr","NO@LAR 11/26/2017 04:25PM ET",3000,0
103,"Brandon Coleman","NO@LAR 11/26/2017 04:25PM ET",3000,0
104,"Tommylee Lewis","NO@LAR 11/26/2017 04:25PM ET",3000,0
105,"Victor Bolden Jr.","SEA@SF 11/26/2017 04:05PM ET",3000,0
106,"Louis Murphy","SEA@SF 11/26/2017 04:05PM ET",3000,0
107,"Trent Taylor","SEA@SF 11/26/2017 04:05PM ET",3000,0
108,"Kendrick Bourne","SEA@SF 11/26/2017 04:05PM ET",3000,0
109,"Amara Darboh","SEA@SF 11/26/2017 04:05PM ET",3000,0
110,"Tanner McEvoy","SEA@SF 11/26/2017 04:05PM ET",3000,0
111,"Chad Williams","JAX@ARI 11/26/2017 04:25PM ET",3000,0
112,"Brittan Golden","JAX@ARI 11/26/2017 04:25PM ET",3000,0
113,"Jaydon Mickens","JAX@ARI 11/26/2017 04:25PM ET",3000,0
114,"Larry Pinkard","JAX@ARI 11/26/2017 04:25PM ET",3000,0
115,"Jordan Taylor","DEN@OAK 11/26/2017 04:25PM ET",3000,0
116,"Cody Latimer","DEN@OAK 11/26/2017 04:25PM ET",3000,0
117,"Isaiah McKenzie","DEN@OAK 11/26/2017 04:25PM ET",3000,0
118,"Cordarrelle Patterson","DEN@OAK 11/26/2017 04:25PM ET",3000,0
119,"Seth Roberts","DEN@OAK 11/26/2017 04:25PM ET",3000,0
120,"Johnny Holton","DEN@OAK 11/26/2017 04:25PM ET",3000,0
