"Rank","Player","Matchup","Salary","Prob"
79,"Fozzy Whittaker","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
80,"Alex Armah","CAR@NYJ 11/26/2017 01:00PM ET",3000,0
81,"Michael Burton","CHI@PHI 11/26/2017 01:00PM ET",3000,0
82,"Benny Cunningham","CHI@PHI 11/26/2017 01:00PM ET",3000,0
83,"Taquan Mizzell","CHI@PHI 11/26/2017 01:00PM ET",3000,0
84,"Kenjon Barner","CHI@PHI 11/26/2017 01:00PM ET",3000,0
85,"Lance Dunbar","NO@LAR 11/26/2017 04:25PM ET",3000,0
86,"Justin Davis","NO@LAR 11/26/2017 04:25PM ET",3000,0
87,"Zach Line","NO@LAR 11/26/2017 04:25PM ET",3000,0
88,"Trey Edmunds","NO@LAR 11/26/2017 04:25PM ET",3000,0
89,"Jonathan Williams","NO@LAR 11/26/2017 04:25PM ET",3000,0
90,"Kyle Juszczyk","SEA@SF 11/26/2017 04:05PM ET",3000,0
91,"Raheem Mostert","SEA@SF 11/26/2017 04:05PM ET",3000,0
92,"Mike Davis","SEA@SF 11/26/2017 04:05PM ET",3000,0
93,"T.J. Logan","JAX@ARI 11/26/2017 04:25PM ET",3000,0
94,"D.J. Foster","JAX@ARI 11/26/2017 04:25PM ET",3000,0
95,"Elijhaa Penny","JAX@ARI 11/26/2017 04:25PM ET",3000,0
96,"Tommy Bohanon","JAX@ARI 11/26/2017 04:25PM ET",3000,0
97,"Andy Janovich","DEN@OAK 11/26/2017 04:25PM ET",3000,0
